Kenya,272,kalundababy,39,201,Fri Oct 15 08:06:26 +0000 2010,5896,202986529,False,"married to economics but having a secret love affair with math| aspiring financial analyst| CPA 6| sapiosexual| open minded| shy,but daring| music anytime"
,178,alphaxardArtur,2,485,Sun Apr 25 13:50:07 +0000 2010,775,136996816,False,
Nairobi,230,kawirawanyagah,22,231,Wed Jan 18 21:32:47 +0000 2012,1505,467807361,True,"Milkshake, Sons of Anarchy, Florence Welch, and TED"
"Nairobi, Kenya",114,MayorHTown,12,247,Mon May 09 08:13:47 +0000 2011,2257,295561297,True,"There are three sides to every story. Mine, yours and the truth"
Nairobi,267,collinsanampiu,23,485,Thu Aug 11 18:54:29 +0000 2011,7256,353222544,True,NEWS EDITOR @ KENYA BROADCASTING CORPORATION (KBC).
Nairobi-Kenya,234,Kelvinsucre,13,339,Wed Jan 19 09:59:59 +0000 2011,3316,240177859,True,"Twitter is my platform,Sarcasm is my dialect, funny bone polished daily |#MANUTD|sirArthur| Marketer"
,173,bryan_stax,9,416,Fri Aug 26 03:56:30 +0000 2011,1745,362277604,False,"Fortune,favours the bold."
"NAIROBI,KENYA",189,DAUDI_STEVE,68,430,Tue Mar 22 09:15:07 +0000 2011,1715,270268726,True,"#TEAMJESUS | #GGMUMUFC | #PROUDCHANGERIAN | #MUSICISLIFE | #TIE | 
#+25490100"
Nairobi - Kenya,2015,Spazbender,156,572,Wed Dec 08 16:57:28 +0000 2010,82741,224295157,True,Happy Soul | Lost Soul | Beautiful Soul | Whoremonal | Crazy Bender
,94,mickglees,19,441,Sat Nov 20 01:50:05 +0000 2010,183,217629111,False,"Lecturer @ DBS, I'm a Computer Scientist not a Hippy."
,8,_lins_x,58,94,Fri Jan 22 12:29:24 +0000 2010,148,107397234,False,
,5235,ugurdemiroz,10,4598,Sun Jan 11 10:36:25 +0000 2009,49144,18863343,False,İsmim yeter
"KERIO VALLEY,ETWN,NRB,YOUR TL",576,LeKahuna,1078,583,Tue Jul 12 10:47:15 +0000 2011,24519,333958569,False,"Information&Communication Gru*,Rookie Rally Driver,Small Time Farmer,Jack of Many Trades,Wise Guy, #MAN_UTD #OKC #IG @Le_big_kahuna"
"Nairobi, kenya",124,WanjaNdaka,25,118,Sat Jan 14 19:30:51 +0000 2012,1683,464038640,True,"I have a world of my own. Yeah right, My World; Keep off its Mine."
"Nairobi, Kenya",287,mumbimungai,3,205,Mon Apr 27 12:18:24 +0000 2009,2358,35727352,True,"Working smart & playing hard. Love, laugh & live. Summer bunny alumni, ex Mzansi!"
Funky Town +254,2190,SyataLinda,402,1959,Wed Dec 30 22:29:58 +0000 2009,35766,100612482,False,|Shy blonde|Tweetprenuer|Smiling Machine|Crazy thoughts|Typo| Events/Proposal planner|bungee jump away from my next meal|nothing personal just weird tweets|
,174,THATGUY_Fazzul,105,198,Thu Dec 13 20:37:06 +0000 2012,2020,1009665500,False,Its not by force neither is it that deep. Moi University/Entreprenure ..instagram; vadz-254 /@partyHolic/@keepInItReal HYFR.✌
"+254, 020",1896,JadeJela,17,1175,Wed Apr 15 08:41:55 +0000 2009,19843,31370197,False,Certified BMC Administrator (1st Female in Kenya) | Certified Software Tester #ISTQB | MCITP. Instagram: @JadeJela. Backup account @JadeJela_
"Nairobi, Kenya",150,MsichanaMrembo,0,201,Thu Mar 24 13:32:19 +0000 2011,3556,271418229,True,"“In a cruel and imperfect world, I am living proof that God could still create perfection.”"
"Nairobi, Kenya",346,Abbakidenda,83,374,Wed Jan 20 23:41:29 +0000 2010,4450,106876746,True,"Africa, Fashion, Food, Music, Books"
Kenya,70,JohnYumbya,5,87,Tue Mar 10 07:36:47 +0000 2009,1456,23568160,False,"Geo-tech things! Kind of like Google Earth, but better!"
KENYA,905,pookiekare,83,455,Thu Oct 07 10:28:48 +0000 2010,13515,199624093,False,Am simple and down to earth!!!!am outgoing and very social..having fun is my second name!!!!
"Dar es Salaam,TZ /Nairobi, KE",473,VMselle,1030,507,Thu May 05 17:19:40 +0000 2011,10630,293613856,True,"Wife|Sales&Mrktng|F'ball,Tennis,F1| Rooney,CR7| FedeRer,SeRena,Vika,
Stan, ★Dreddy, Dimi| Hamilton| Lakers| Jay&Bey
@serenawilliams tweeted me TWICE on11.10.13"
"Nairobi, Kenya",2216,gitts,2726,1128,Sat Jun 21 12:31:38 +0000 2008,53806,15189384,True,"Curious, geek, punster,  armchair philosopher, #mufc  a student of life, SO"
+254,78,Don_khalif,22,205,Mon Jun 04 21:18:12 +0000 2012,1280,599652963,False,|Anti-neo colonialists|freestyler|screamer-Right based|environmentalist|-imm♡rtal.
Nairobi,150,OeriDamaris,8,404,Tue Aug 30 13:16:54 +0000 2011,1446,364854017,True,"A daughter, Sister to three, A woman of substance 
PR , Communications & Corporate Affairs /Journalist/Media Liaison & Management/Writer"
Nairobi,84,olwesh,10,98,Fri Aug 21 08:08:54 +0000 2009,1092,67557855,True,Just a Stormer to the core!
Kenya,123,mistaobara,1,275,Fri Dec 24 16:08:46 +0000 2010,1009,230207051,False,journalist I poet I creative writer I script developer I lyricist I son I brother I shoulder to lean on et cetera
Kenya,50,DerrickOtsyenoR,2,82,Sat Jun 25 09:03:54 +0000 2011,35,323717108,False,complexity
Tenament Yard,311,davisqi17,70,638,Tue Jun 05 08:58:18 +0000 2012,7338,599954525,False,"#TeamChelsea #TeamVybzKartel,has no enemies buh is intensely desliked by his friends,cool like an eskimo,egoist,passionate about soccer,dancehall n reggae muziq"
Nairobi,606,Irinemamaviatu,2733,845,Wed Feb 20 20:02:31 +0000 2013,7035,1202010384,True,"Proudly Kenyan! Acts in Lies That Bind & several others,passionate for art especially acting,a model,poet,writer,director &  a believer
http://t.co/Hsn3mUk6C9"
Born|Works|Lives 43|47|34,5324,makodingo,957,677,Tue Apr 14 15:20:24 +0000 2009,33754,31144794,False,Expert on Politics of Conflicts in Kenya | Political Strategist | Devolution & Governance Consultant | Youth Affairs Expert|...and Pharmacist by Profession|
"Nairobi, Kenya",976,Freudclements,34,787,Fri Jul 10 06:03:10 +0000 2009,9980,55486843,True,Your Average Guy#PROGRAMMER/ b #WEBDESIGNER.../b#TEAMARSENALJUSTROCK N RUGBY!!!!!
Nairobi,76,wawabenock,11,118,Sun May 15 17:19:29 +0000 2011,328,299191842,True,"engineer in the making and in love with those strings, her melody makes life easy..."
,4,Shiwa_Muchina,1,81,Tue Mar 12 11:37:43 +0000 2013,5,1261754004,False,
Nairobi ,11,bonyotieno,11,70,Tue Mar 22 13:55:15 +0000 2011,148,270367857,True,
Nairobi,1292,GeorgeAdulu,300,1051,Tue May 22 18:46:35 +0000 2012,12639,587655557,True,Housing Matters-My Passion. Kenya- My beloved country. Arsenal- My Team. All Views-My own.                   Dream- To see all Kenyans living in decent housing.
Nairobi,3305,TeriWanderi,1830,2624,Thu Apr 24 08:39:52 +0000 2008,56001,14508998,True,Student | Gamer | Techie | Script Kiddie
Nairobi,45,CiruMwaniki,27,85,Fri Feb 18 05:23:27 +0000 2011,952,253893775,True,"Earn Life, Be Glad and Live it!"
,109,ahmedfarah75,72,542,Mon Jun 27 13:55:40 +0000 2011,868,324951028,False,
The Back End!,561,MakOmondi,26,423,Fri Sep 25 06:16:44 +0000 2009,23343,77149170,False,"Growing, struggling writer and Social Media Strategist. Community Associate at @OgilvyOneAfrica"
,7,MichaelGioko,2,52,Thu Sep 06 14:20:45 +0000 2012,77,806920182,False,
,1387,Starlitoz,139,1083,Wed Nov 17 11:32:12 +0000 2010,39400,216660732,False,Fresh Prince Movement ™ | PaperBond | PewPewPew
Nairobi~Kenya,316,Mosehshuba,28,426,Wed Dec 16 16:24:58 +0000 2009,7134,97240752,True,I'm a rare breed a man with STANDARDS!!!
"Nairobi, Kenya",83,NSC_Westlands,0,1,Fri Nov 23 09:57:21 +0000 2012,44382,965832518,True,Nairobi Smarter City Traffic Awareness for Westlands Roundabout. Please follow @NairobiSmarterC for general announcements.
"Nairobi, Kenya",51,Debee_ngeru,1,141,Thu Dec 22 08:33:11 +0000 2011,159,443539393,True,Passionate about Africa...
,33,Anngakiim,26,68,Thu Jun 21 12:44:35 +0000 2012,69,614365869,False,
Nairobi Kenya,453,Yorenenum,2339,449,Sun Jun 28 14:24:46 +0000 2009,9400,51740797,True,"@Yor_me IG 
#ImperialGunner 
Rated ® call me Ocho Cinco"
"Nairobi ,kenya",314,DjGapp,50,169,Fri Jun 26 18:55:07 +0000 2009,462,51177594,True,"Dj, producer (music & tv)"
"Nairobi,Kenya",3078,lindaadongo,243,3340,Thu Mar 11 10:02:57 +0000 2010,16203,122021128,True,"Radio Presenter,mommy,sister,fun loving grown ass 30's woman, can be an introvert..basically what you see is what you get but hey looks can be deceiving!"
Nairobi,159,kagimu_j,1525,143,Wed Aug 29 13:30:24 +0000 2012,4764,789351523,True,from 256 to 254  #TEAMANDROID #LEO
Lazlo Land,75,Rifinitore10,89,116,Wed Aug 19 20:41:14 +0000 2009,822,67115363,False,Follower of Dios
,11,Patwwafula,1,49,Fri Jan 27 02:45:26 +0000 2012,64,475461330,False,
Nairobi,470,Musax,26,594,Fri May 22 17:15:15 +0000 2009,8656,41856198,True,Allot is overrated!
"Nairobi, Kenya",1399,topix_nbi,0,2,Sun Jul 27 15:05:36 +0000 2008,10181,15620617,True,"Follow me what's happening in Nairobi, Kenya. Not affiliated to http://topix.com nor to Topix LLC."
WEST SIDE,1884,Am_Charlie,211,987,Sat Feb 26 11:40:42 +0000 2011,87034,257875637,False,"I aint funny 
I aint a cool kid
I aint I aint i aint anything yo looking for."
Oxford,2909,catherinemep,19,2669,Wed Jan 04 11:13:08 +0000 2012,3287,454779231,False,Catherine Bearder is a Liberal Democrat MEP for the South East. Fighting Human #Trafficking. Protecting the Environment. http://www.facebook.com/EuromythBuster
"Nairobi, kenya",234,njugunet,52,1318,Mon Aug 16 17:38:00 +0000 2010,1922,179169080,True,"Vegetarians are cool. All I eat are vegetarians - except for the occasional mountain lion steak.
-Ted Nugent"
,485,a_erkn,94,76,Thu Nov 03 06:46:00 +0000 2011,2485,403942896,False,
,218,nyakiobrendah,58,233,Sat Aug 31 07:48:33 +0000 2013,991,1715005237,False,
nairobi,23,anyasijonnie,7,57,Tue Aug 09 09:50:43 +0000 2011,125,351493478,True,"follow me and i'll follow your chic «««

#TeamManchesterunited
#TeamAFCleopards"
kenya,78,mwaff,5,110,Sun Oct 25 12:29:04 +0000 2009,485,85070359,False,"find me,know me."
"nairobi,kenya",710,Bbrian_K,41,1257,Wed May 30 12:20:59 +0000 2012,4223,594555328,True,"{{Event organiser//marketer/projectmanager/user/abuser/stoner/hustler/revenger/avenger/danger/raver.}}
IN GOD I TRUST.
#imagine-nation
         ««BK»»"
Cape Town/ Nairobi ,643,vuyozangqa,122,324,Tue Apr 16 11:25:09 +0000 2013,828,1356633876,True,"Greatness is waiting, TAKE IT! CLAIM IT! Touching peoples' lives will always be the reason why I wake up in the morning.. Lets go!!!"
"Nairobi, kenya",291,nairobigooner,60,581,Sun Apr 26 16:35:46 +0000 2009,8811,35501613,True,0ccasionally I rant but otherwise i'm quite sane... 110% ARSENAL socially and environmentally conscious
"Nairobi, Kenya",2253,samdave69,3640,936,Wed Mar 16 07:43:25 +0000 2011,31503,267054363,True,Lazy writer. Lucky traveller. Whisky aficionado. Hotpant wearer. Politically incorrect. Cynical and very opinionated. Frequent roadtripper. Extremely profane.
"Nairobi, Kenya",178,Siamantah,20,369,Thu Oct 22 06:01:15 +0000 2009,1482,84253913,True,"I love life, i take everyday as it comes and not worry about tomorrow because it is in the hands of my creator."
Ping me: FE::2D6::14::1F4,332,julioceaseless,272,521,Sun Mar 06 11:31:10 +0000 2011,11844,261647361,False,"#Electrical_Engineering student, blogger at My Tech Vine.. a technophile;
 always learning something new...currently dating ubuntu via terminal."
"Nairobi, Kenya",5,BensonMuriuki5,2,24,Wed Oct 02 17:03:56 +0000 2013,89,1927557667,True,SHREWD    BUSINESSMAN
"Nairobi, Kenya",83,judyruno,16,207,Mon Aug 27 12:40:02 +0000 2012,1711,784579087,True,Proudly Kenyan!
Nairobi Kenya,15,Matibdhilahi,1,122,Wed Dec 28 04:48:32 +0000 2011,16,448583641,True,
"Nairobi , Kenya",115,FrankMeliso,36,113,Sun Sep 04 13:40:02 +0000 2011,1637,367734439,True,"I'm a die hard Man-U fan....
The rest is history"
S 1� 14' 0'' / E 36� 53' 0'',222,Kiaraho,23,280,Sun Apr 05 19:14:27 +0000 2009,6626,29041665,False,"AwesoME ends with ME :-)

Live~Laugh~Love

Happy|Candid|Sister|Daughter|Friend|Lover Of Life|Eats Life With A Big Spoon|My Glass is Always Half Full :-)"
NBO,167,big_zeek,371,385,Wed Jun 03 09:52:32 +0000 2009,7883,44329730,False,"Tech enthusiast, Adventurer, Outdoorsy person and lover of all things culinary....Lives life to the fullest!"
"Nairobi,Kenya",1830,AlindiG,112,686,Wed Jun 24 05:51:20 +0000 2009,92998,50228378,True,I'm the best..... Binary guy living in a Decimal world. Father to an angel...
Nairobi,14,Missnerry,0,100,Fri Feb 24 12:12:26 +0000 2012,50,501717973,True,Woman Rights defender
"Nairobi, Kenya",184,MakariosAgumbi,158,219,Mon Apr 04 08:09:36 +0000 2011,2955,276877973,True,Chase Bank (K) Ltd | Progressive Kenyan | Family & friendship values | Formula 1
Kenya,122,patc_ee,5,114,Fri Jan 27 13:14:16 +0000 2012,1494,475804996,False,Daughter | Sister |  Mother |  Love life | #SAGITTARIUS The bitch you don't want to mess with | Love my few friends patricia.maina@yahoo.com
"Nairobi, Kenya",66462,EvelynWambui,60,437,Sat Jun 13 13:47:46 +0000 2009,14470,46887885,True,A news reporter mainly covering human interests stories that affect the everyday lives of the ordinary Kenyan. Now with @citizentvkenya
Nairobi,320,Onesnjara,27,1083,Mon Apr 11 08:15:49 +0000 2011,1799,280408427,True,"A Husband and a Father, Risk taker and a BOG member.  Favourite quote, Use the stairs if you want to become rich, avoid the elevator!"
Mysterious Land 254,1099,MYSTYQ_JAY,116,1068,Fri Feb 03 13:12:18 +0000 2012,14253,482037612,False,STAY TRIPPY BRAZZERS #F1
Nairobi Kenya,25,NdunguKimingi,23,70,Mon Apr 22 06:04:23 +0000 2013,249,1371404827,True,Husband dad sales associate at bascoproducts(k)ltd
Nairobi,215,Shaddy_prince,40,308,Mon Jan 02 13:21:02 +0000 2012,7750,452991098,True,
+254,600,helenawaithera,72,854,Thu May 26 15:59:56 +0000 2011,2363,305663977,False,"Tv Actress,Director,Model and Dancer.                          «A simple girl with a dream»...Crazy about life...#halloween baby"
"Kiambu, Kenya ",711,gwomsjnr,7,436,Sat Jul 11 14:45:51 +0000 2009,8658,55844973,False,Aquarius |Boo Boo Bama|Fine Men|Foodie|Future |Gadgets |Good Music |GOD|Gunners|KENYA |Lawyer |Love |No New Friends |Peace |Reggae |Wale
"Nairobi, Kenya",2,kindinho12,1,52,Sat Aug 31 06:55:32 +0000 2013,7,1714890548,True,
"Nairobi,Kenya",47,Mustafa2353,0,217,Sun May 27 14:43:35 +0000 2012,3972,591881716,True,"Don't change to make someone love you, be yourself and let the right one fall for you"
,5,wambuibenz,1,69,Wed Oct 09 13:54:48 +0000 2013,62,1949352025,False,
International,826,Steph_Wanjiku,161,377,Mon May 10 23:25:30 +0000 2010,10696,142459512,False,we evolve into a product of society
☆ ✋+254✋ ☆ \̽▴̲̊̽▴̲̊̽̽▴̲̊̽/̽,2083,brikauskey,61,2083,Fri Oct 09 17:32:29 +0000 2009,30955,81159423,False,"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination and charm and gaiety to life and to everything"
"Cincinnati,OH",209,maflagler,565,401,Wed Oct 20 16:22:21 +0000 2010,2574,205322605,False,"Cincinnati Fire Department Lieutenant, Dad, Inveterate Smart Alek"
+254,119,Nananjeri,14,133,Tue Mar 29 20:42:22 +0000 2011,618,274150518,False,destiny vs dignity
"Nairobi, Kenya",606,LLitaba,157,2006,Fri Apr 27 06:35:23 +0000 2012,596,564349397,True,LG: Life's Good :)
"ÜT: -1.1928674,36.9294697",289,weshizle,101,1028,Tue Dec 29 11:37:40 +0000 2009,4564,100203976,False,"ones see the glass half full, others half empty. Me? I'm still looking for the freaking glass..."
Code 254,9,asher244,0,25,Thu Dec 10 17:05:37 +0000 2009,261,95940960,False,Bio...
nairobi,1220,RealBullen,43,2002,Tue Dec 13 14:31:37 +0000 2011,559,435856647,True,If you put God first every thing is possible. Believe in your self and always know your the shit! Self pride!
,360,Danodemba,14,1886,Fri Apr 06 10:30:38 +0000 2012,1745,546701401,False,"Peace loving, church going mwananchi, an Arsenal FC & Gor Mahia FC fan, a husband, proud Dad, friend & brother"
"Nairobi, KENYA",423,Robah_,6,188,Tue Sep 29 06:43:08 +0000 2009,15279,78237913,True,-_- #GGMU IG: Umijah_
nairobi,637,karigoh,36,1030,Sat Nov 14 16:35:58 +0000 2009,9304,89969893,True,"Social Media, Events and client service Guru/Last Born,Friend,Believer/ http://t.co/RS3VWwb4/ TuskerMalt /Turrus Rilley/MANCHESTER UNITED/JESUS CHRIST i love!"
"Nairobi, Kenya",457,misanya,50,569,Sun Aug 09 17:56:26 +0000 2009,7779,64218003,True,"Aspiring Journalist | Assignment Desk Editor at @a24media
In all things done; thank God for how far He's brought you."
nairobi kenya,960,AMOKC1OO1,409,1060,Mon Jun 07 16:13:38 +0000 2010,19558,153069131,True,"Journalist .Love my Man U,!CuT Me OPeN.I BLeeD SPoRT #MUFC the views expressed here are mine and not employers #ThankYouSirAlex
 #Pisces"
Nairobi ,190,Cjkwonyike,19,198,Thu May 13 07:13:13 +0000 2010,3934,143353816,True,Am a loving mother and a hotelier. I am real and I say it as it is:)
"Nairobi, Kenya",58,AKenyan_Chap,628,204,Thu Jul 25 09:48:57 +0000 2013,838,1619941512,True,"Trance | Progressive | Virgo | Believer
 | Arsenal FC


amicitiae nostrae memoriam spero sempiternam fore – Cicero"
,2,jdobonyo,1,24,Sun Sep 22 06:12:04 +0000 2013,3,1892683862,False,
Loners Club,225,Risperkikie,60,283,Mon Nov 23 12:15:40 +0000 2009,7674,92003767,False,Taurus.......
Kenya,442,stiffler_254,19,1309,Sat May 08 22:42:57 +0000 2010,1272,141741111,False,"I am the |#1Social Mc|#TheCrazyEventMarketer| Rapper| Vice CEO of Swift Photography|I keep it real i keep it fresh|Call me Stiffler Stevo

#stiffler_254"
"Nairobi,KENYA  ",353,edwarddcarter,102,1330,Sun Mar 28 22:18:41 +0000 2010,6142,127343043,True,#254Team| AIRNOMAD| CAREEBEAN| #Earth |Music |PEACE Ambassador|``° Want to know more about me follow #Instagram:@tuchi_lemar
nairobi,34,SheezSheila,8,57,Sun Sep 29 20:22:37 +0000 2013,417,1918061420,True,ass!ass!a mami hu loves her assets
,76,bnyenjeri,57,103,Sat Mar 07 12:31:28 +0000 2009,807,23188497,False,"Innovative Lawyer,Partner Robson Harris Advocates, Director-Eseriani Chain of Hotels, Patron -Urban Land Institute Naivasha, City Changer"
nairobi,2,PDemani,3,27,Tue Sep 24 09:03:35 +0000 2013,22,1899798319,True,
"Nairobi, Kenya",375,OssyiAmHim,21,416,Wed Apr 13 18:28:16 +0000 2011,1828,281662204,True,Earth Mover | Amara Lover | Trend Setter | Dream Chaser | Dream Catcher | And Nairobi is where I come from G ❗
,11060,vqee_silver,423,10842,Sun Apr 10 16:52:57 +0000 2011,8881,280102247,False,Queen Victoria.....I rule this empire                       #African Model#Kik- vqee_silver ..                       254 Nairobi Kenya Arsenal/Aries all the way
Nairobi,22,callinglucus,15,146,Mon Mar 07 18:02:22 +0000 2011,116,262257884,True,
Nairobi kenya,40,njorojoseph,5,204,Wed Oct 05 07:22:32 +0000 2011,103,385293152,True,"Graphic designer, Marketer"
Nairobi,181,WilliamJ_Mugwe,92,208,Fri Mar 09 06:45:08 +0000 2012,858,519250142,True,"Of pain and loss...forth fun and bliss...mind on a fantasy,living on http://ecstacy.Ac/Dc originality,u get what u see."
Kenya,571,mercy_orangi,1997,635,Wed May 09 13:48:54 +0000 2012,5785,575372236,False,0s and 1s | Software Developer | Google Developers Group Nairobi - co-lead | #God's Pearl |  | Laughter be my daily fuel |
"Nairobi ,kenya",267,5LadyS,115,301,Tue Jun 14 06:19:53 +0000 2011,1931,316949753,True,"I play with numbers,i love,live and laugh.
Life is never that serious, never give up.
Anything is possible,be ready."
incognito,594,popecorleone,488,729,Fri Dec 30 12:58:08 +0000 2011,24238,450610740,False,"Asshole | Petrolhead | Speed Junkie | Soon to graduate with a 4.0 gpa

#HEATNATION #MUFC #ForzaFerrari"
kenya. Nairobi.  Ngummo,78,MurithiE,52,102,Wed Apr 06 21:35:15 +0000 2011,1934,278228906,True,methodical ....
nairobi,28,mutegicliff,11,164,Thu Oct 25 18:00:03 +0000 2012,549,904385071,True,Man about town
nairobi,166,shsdrack,4,676,Sat Sep 28 18:39:26 +0000 2013,39,1915008901,True,
Nairobi kenya,4,EdwinOgutu,0,102,Tue Oct 22 10:44:51 +0000 2013,18,2148784963,True,"Loves socialising, dancer ,and above all God fearing"
Nairobi,511,Hila_Mudigi,308,784,Wed Dec 14 21:44:25 +0000 2011,16543,437029845,True,"Model   ,Footballer ....&  Journalist...Next Big thing in the society           _!! *ManUtd #Tottenham  #Sofapakaf.c #SautiSol. *CeO          @FShoez"
